
Отбор:	Выпускающая кафедра Равно "Кафедра 305"
	
Выпускающая кафедра				
Год поступления				
УП	Статус разработки УП	Количество дисциплин	Количество дисциплин с РПД	Код УП
Цифровые сети систем управления летательных аппаратов	Кафедра 303			
РП дисциплины "Цифровые сети систем управления летательных аппаратов" (Копия 01.08.2012 15:50:42 Костюков В.М.) (Копия 9/22/2015 10:55:44 AM Костюков , 000028358	Утвержден			
Численные методы	Кафедра 804			
Лист переутверждения по "РП дисциплины "Численные методы" для специалитета по направлению 161101" (2012/13), 000006231	Утвержден			
Экология	Кафедра 301			
Лист переутверждения по "РП дисциплины "Экология" (очн. спец. 161101.9 каф. 301)" (2012/13), 000020655	Утвержден			
Экономика	Кафедра 507			
Лист переутверждения по "РП дисциплины "Экономика" (1 семестр) (Любимцева С.В.)" (2012/13), 000011871	Утвержден			
Экономика отрасли	Кафедра 502			
РП дисциплины "Экономика отрасли" специалитет , 000017616	Утвержден			
Эксплуатационная практика	Кафедра 303			
Лист переутверждения по "РП практики "Эксплуатационная практика"" (2012/13), 000020228	Утвержден			
Эксплуатация и испытание систем управления летательных аппаратов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Эксплуатация и испытание систем управления летательных аппаратов" (Копия 12.12.2014 17:21:24 Кошелев Б.В.)" (2, 000012836	Утвержден			
Электроника	Кафедра 306			
Лист переутверждения по "РП дисциплины "Электроника"" (2012/13), 000019762	Утвержден			
Электрооборудование летательных аппаратов и средства их подготовки	Кафедра 310			
Лист переутверждения по "РП дисциплины "Электрооборудование летательных апппаратов и средства их подготовки"" (2012/13), 000005128	Утвержден			
Язык программирования C++	Кафедра 303			
Лист переутверждения по "РП дисциплины "Язык программирования С++" 161101.13" (2012/13), 000016143	В разработке			
РП дисциплины "Язык программирования С++" 161101 2012/2013, 000028367	Утвержден			
Языки программирования	Кафедра 303			
РП дисциплины "Языки программирования" 161101 2012/2013, 000053868	Утвержден			
УП очного специалитета по 161101 "Навигационные системы и инерциальные датчики систем управления ЛА" (2012/13)	Утвержден	75	72	000009840
Алгоритмические языки и программирование	Кафедра 311			
Лист переутверждения по "РП дисциплины "Алгоритмические языки и программирование" " (2012/13), 000009542	Утвержден			
Аналитическая механика и теория колебаний	Кафедра 305			
Лист переутверждения по "РП дисциплины "Аналитическая механика и теория колебаний"" (2012/13), 000006357	Утвержден			
Безопасность жизнедеятельности	Кафедра 503			
Лист переутверждения по "РП дисциплины "Безопасность жизнедеятельности" (каф. 301, 305)" (2012/13), 000003906	Утвержден			
Введение в специальность	Кафедра 305			
РП дисциплины "Введение в специальность", 000002336	Утвержден			
Гироскопические приборы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Гироскопические приборы"" (2012/13), 000005368	Утвержден			
Гироскопические системы ориентации	Кафедра 305			
Лист переутверждения по "РП дисциплины "Гироскопические системы ориентации"" (2012/13), 000005370	Утвержден			
Гироскопические стабилизаторы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Гироскопические стабилизаторы"" (2012/13), 000005987	Утвержден			
Динамика полета воздушных и космических летательных аппаратов	Кафедра 301			
Лист переутверждения по "РП дисциплины "Динамика полета воздушных и космических летательных аппаратов" (161101.11 очн.спец.)" (2012/13), 000001731	Утвержден			
Дифференциальные уравнения	Кафедра 804			
Лист переутверждения по "РП дисциплины "Дифференциальные уравнения" для очного специалитета по направлению 161101 на 3 з.е. " (2012/13), 000006369	Утвержден			
Инерциальные датчики систем управления	Кафедра 305			
Лист переутверждения по "РП дисциплины "Инерциальные датчики систем управления"" (2012/13), 000005371	Утвержден			
Инженерная и компьютерная графика	Кафедра 904			
Лист переутверждения по "РП дисциплины "Инженерная и компьютерная графика" (специалитет)  Кожухова Е.А." (2012/13), 000015307	Утвержден			
Иностранный язык-1	Кафедра И-12			
Лист переутверждения по "РП дисциплины "Иностранный язык-1" (оч.спец.Навигационные системы и инерциальные датчики систем управления летательных аппара, 000007486	Утвержден			
Иностранный язык-2	Кафедра И-12			
Лист переутверждения по "РП дисциплины "Иностранный язык-2"  (очн. спец.161101 "Навигационные системы и инерциальные датчики систем управления ЛА"  ка, 000028471	Утвержден			
Информатика	Кафедра 304			
Лист переутверждения по "РП дисциплины "Информатика" разр.каф. 304(спец.161101,2011)" (2012/13), 000000579	Утвержден			
Испытание приборов и систем	Кафедра 308			
Лист переутверждения по "РП дисциплины "Испытание приборов и систем"" (2012/13), 000010261	Утвержден			
История	Кафедра 518			
Лист переутверждения по "РП дисциплины "История" " (2012/13), 000007038	Утвержден			
История культуры	Кафедра 004			
Лист переутверждения по "РП дисциплины "История культуры" Шаблон УП очного специалитета по 161101" (2012/13), 000015447	Утвержден			
Культурология	Кафедра 004			
Лист переутверждения по "РП дисциплины "Культурология" очного специалитета по 161101" (2012/13), 000007260	Утвержден			
Линейная алгебра и аналитическая геометрия	Кафедра 804			
РП дисциплины Линейная алгебра (161101, 3ф 2011/12 уч.год) Осокин А.В. (Копия 06.02.2018 16:16:57 Осокин А.В.), 000070077	Утвержден			
Математический анализ	Кафедра 804			
Лист переутверждения по "РП дисциплины "Математический анализ" для специалитета на 10 з.е. (161101)   " (2012/13), 000006960	Утвержден			
Материаловедение	Кафедра 903			
РП дисциплины "Материаловедение" очного специалитета по 161101   "Управляющие пилотажно-навигационные комплексы л.а."  (2012/13), 000015752	Утвержден			
Методы оптимизации	Кафедра 305			
Лист переутверждения по "РП дисциплины "Методы оптимизации"" (2012/13), 000005989	Утвержден			
Метрологическое обеспечение измерений в системах ориентации и навигации	Кафедра 305			
Лист переутверждения по "РП дисциплины "Метрологическое обеспечение измерений в системе ориентации и навигации"" (2012/13), 000006351	Утвержден			
Метрология, стандартизация и сертификация	Кафедра 303			
Лист переутверждения по "РП дисциплины "Метрология, стандартизация и сертификация"" (2012/13), 000031064	Утвержден			
Микропроцессорная техника в приборах, системах и комплексах	Кафедра 305			
Лист переутверждения по "РП дисциплины "Микропроцессорная техника в приборах, системах и комплексах"" (2012/13), 000006679	Утвержден			
Моделирование систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Моделирование систем"" (2012/13), 000005420	Утвержден			
Навигационные системы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Навигационные системы"" (2012/13), 000005418	Утвержден			
Надежность и техническая диагностика приборов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Надежность и техническая диагностика приборов"" (2012/13), 000005416	Утвержден			
Начертательная геометрия	Кафедра 904			
Лист переутверждения по "РП дисциплины "Начертательная геометрия" (72ч= 18ЛК+16ПЗ+38СРС) 161101C" (2012/13), 000028521	Утвержден			
Основы автоматизированного проектирования	Кафедра 305			
Лист переутверждения по "РП дисциплины "Основы автоматизированного проектирования"" (2012/13), 000005406	Утвержден			
Основы конструирования приборов	Кафедра 906			
Лист переутверждения по " РП дисциплины "Основы конструирования приборов" ,очного специалитета по 161101" (2012/13), 000000836	Утвержден			
Основы менеджмента	Кафедра 506			
Лист переутверждения по "РП дисциплины "Основы менеджмента" каф. 506  161101" (2012/13), 000011964	Утвержден			
Основы прикладной гидро- и аэродинамики	Кафедра 602			
Лист переутверждения по "РП дисциплины "Основы прикладной гидро- и аэродинамики"" (2012/13), 000008038	Утвержден			
Основы теории пилотажно-навигационных систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Основы теории пилотажно-навигационных систем"" (2012/13), 000006003	Утвержден			
Основы теории управления	Кафедра 301			
Лист переутверждения по "РП дисциплины "Основы теории управления"" (2012/13), 000005471	Утвержден			
Политика и право	Кафедра 003			
Лист переутверждения по "РП дисциплины "Политика и право"    " (2012/13), 000014735	Утвержден			
Политология	Кафедра 003			
Лист переутверждения по "РП дисциплины "Политология" " (2012/13), 000009222	Утвержден			
Правоведение	Кафедра 003			
Лист переутверждения по "РП дисциплины "Правоведение"" (2012/13), 000014498	Утвержден			
Преддипломная практика	Кафедра 305			
Лист переутверждения по "РП практики "Преддипломная практика"" (2012/13), 000007813	Отправлен на доработку			
РП практики "Преддипломная практика" , 000053014	Утвержден			
Приборы и датчики высотно- скоростных параметров	Кафедра 303			
Нет РПД,				
Прикладная микромеханика	Кафедра 305			
Лист переутверждения по "Прикладная микромеханика" (2012/13), 000009535	Утвержден			
Проектирование навигационных систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Проектирование навигационных систем"" (2012/13), 000005398	Утвержден			
Производственная практика	Кафедра 305			
Лист переутверждения по "РП практики "Производственная практика"" (2012/13), 000006335	Утвержден			
Производственно-технологическая практика	Кафедра 307			
Нет РПД,				
Расчет и проектирование инерциальных датчиков	Кафедра 305			
Лист переутверждения по "РП дисциплины "Расчет и проектирование инерциальных датчиков"" (2012/13), 000012838	Утвержден			
Системы автоматического управления воздушными летательными аппаратами	Кафедра 301			
Лист переутверждения по "РП дисциплины "Системы автоматического управления воздушными летательными аппаратами"" (2012/13), 000023205	Утвержден			
Системы автоматического управления космическими летательными аппаратами	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы автоматического управления космическими летательными аппаратами"" (2012/13), 000005396	Утвержден			
Системы аналитических вычислений	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы аналитических вычислений"" (2012/13), 000005390	Утвержден			
Системы компьютерных вычислений	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы компьютерных вычислений"" (2012/13), 000005388	Утвержден			
Случайные процессы и статистические технологии	Кафедра 305			
Лист переутверждения по "РП дисциплины "Случайные процессы и статистические технологии"" (2012/13), 000006887	Утвержден			
Социология	Кафедра 009			
Лист переутверждения по "РП дисциплины "Социология" 2 з.е.   " (2012/13), 000005070	Утвержден			
Спутниковые навигационные измерения	Кафедра 305			
Лист переутверждения по "РП дисциплины "Спутниковые навигационные измерения"" (2012/13), 000005384	Утвержден			
Спутниковые навигационные технологии	Кафедра 305			
Лист переутверждения по "РП дисциплины "Спутниковые навигационные технологии"" (2012/13), 000005382	Утвержден			
Теоретическая механика	Кафедра 802			
РП дисциплины "Теоретическая механика" очного специалитета по 161101 , 000103496	Утвержден			
Теоретические основы электротехники и электроизмерений	Кафедра 309			
РП дисциплины "Теоретические основы электротехники и электроизмерений" 161101.11 , 000003981	Утвержден			
Теория вероятностей и математическая статистика	Кафедра 302			
Лист переутверждения по "РП дисциплины "Теория вероятностей и математическая статистика" " (2012/13), 000004900	Утвержден			
Теория случайных процессов	Кафедра 305			
РП дисциплины "Теория случайных процессов", 000009225	Утвержден			
Теория функций комплексного переменного	Кафедра 804			
РП дисциплины "Теория функций комплексного переменного", 3 з.е. (161101)2012/13, 000050475	Утвержден			
Технология приборостроения	Кафедра 307			
Нет РПД,				
УИРС	Кафедра 305			
Лист переутверждения по "РП дисциплины "УИРС"" (2012/13), 000001142	Отправлен на доработку			
Учебная практика	Кафедра 305			
Лист переутверждения по "РП практики "Учебная практика"" (2012/13), 000001103	Утвержден			
Физика	Кафедра 801			
Лист переутверждения по "РП дисциплины "Физика" (специалитет 161101) " (2012/13), 000028939	Утвержден			
Физико-теоретические основы элементов и систем управления движением	Кафедра 305			
Лист переутверждения по "РП дисциплины "Физико-теоретические основы элементов и систем управления движением"" (2012/13), 000005979	Утвержден			
Философия	Кафедра 517			
Лист переутверждения по "РП дисциплины "Философия"  очного специалитета по 161101" (2012/13), 000001059	Утвержден			
Химия	Кафедра 908			
Лист переутверждения по "РП дисциплины "Химия" для очного специалитета по 161101" (2012/13), 000009000	Утвержден			
Цифровые измерительно-управляющие системы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Цифровые измерительно-управляющие системы"" (2012/13), 000005376	Утвержден			
Численные методы	Кафедра 804			
Лист переутверждения по "РП дисциплины "Численные методы" для специалитета по направлению 161101" (2012/13), 000006231	Утвержден			
Экология	Кафедра 301			
Лист переутверждения по "РП дисциплины "Экология" (очн. спец. 161101.9 каф. 301)" (2012/13), 000020655	Утвержден			
Экономика	Кафедра 507			
Лист переутверждения по "РП дисциплины "Экономика" (1 семестр) (Любимцева С.В.)" (2012/13), 000011871	Утвержден			
Экономика отрасли	Кафедра 502			
РП дисциплины "Экономика отрасли" специалитет , 000017616	Утвержден			
Эксплуатационная практика	Кафедра 305			
Лист переутверждения по "РП практики "Эксплуатационная практика"" (2012/13), 000006343	Утвержден			
Эксплуатация и испытание систем управления летательных аппаратов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Эксплуатация и испытание систем управления летательных аппаратов" (Копия 12.12.2014 17:21:24 Кошелев Б.В.)" (2, 000012836	Утвержден			
Электроника	Кафедра 305			
Лист переутверждения по "РП дисциплины "Электроника" " (2012/13), 000006672	Утвержден			
Электрооборудование летательных аппаратов и средства их подготовки	Кафедра 310			
Лист переутверждения по "РП дисциплины "Электрооборудование летательных апппаратов и средства их подготовки"" (2012/13), 000005128	Утвержден			
Элементы приборов и систем ориентации и навигации	Кафедра 305			
РП дисциплины "Элементы приборов и систем ориентации и навигации", 000002513	Утвержден			
УП очного специалитета по 161101 "Управляющие пилотажно-навигационные комплексы летательных аппаратов" (2012/13)	Утвержден	74	72	000009841
Алгоритмические языки и программирование	Кафедра 311			
Лист переутверждения по "РП дисциплины "Алгоритмические языки и программирование"" (2012/13), 000009548	Утвержден			
Безопасность жизнедеятельности	Кафедра 503			
Лист переутверждения по "РП дисциплины "Безопасность жизнедеятельности" (каф. 305 2й профиль)" (2012/13), 000003902	Утвержден			
Введение в специальность	Кафедра 305			
РП дисциплины "Введение в специальность", 000013470	Утвержден			
Воздушная навигация и самолетовождение	Кафедра 305			
Лист переутверждения по "РП дисциплины "Воздушная навигация и самолетовождение"" (2012/13), 000006124	Утвержден			
Гироскопические приборы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Гироскопические приборы"" (2012/13), 000005368	Утвержден			
Гироскопические системы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Гироскопические системы"" (2012/13), 000005424	Утвержден			
Гироскопические стабилизаторы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Гироскопические стабилизаторы"" (2012/13), 000006687	Утвержден			
Динамика полета воздушных и космических летательных аппаратов	Кафедра 301			
Лист переутверждения по "РП дисциплины "Динамика полета воздушных и космических летательных аппаратов" (161101.12 очн. спец.)" (2012/13), 000001733	Утвержден			
Дифференциальные уравнения	Кафедра 804			
Лист переутверждения по "РП дисциплины "Дифференциальные уравнения" для очного специалитета по направлению 161101 на 3 з.е. " (2012/13), 000006369	Утвержден			
Инженерная и компьютерная графика	Кафедра 904			
Лист переутверждения по "РП дисциплины "Инженерная и компьютерная графика" (специалитет)  Кожухова Е.А." (2012/13), 000015307	Утвержден			
Иностранный язык-1	Кафедра И-12			
Лист переутверждения по "РП дисциплины "Иностранный язык-1" (оч.спец.Управляющие пилотажно-навигационные комплексы летательных аппаратов (каф.305) " (, 000016582	Утвержден			
Иностранный язык-2	Кафедра И-12			
Лист переутверждения по "РП дисциплины "Иностранный язык-2"  (очн. спец. 161101 "Управляющие пилотажно-навигационные комплексы летательных аппаратов"к, 000028473	Утвержден			
Информатика	Кафедра 304			
Лист переутверждения по "РП дисциплины "Информатика" разр.каф. 304(спец.161101,2011)" (2012/13), 000000579	Утвержден			
Испытание приборов и систем	Кафедра 308			
Лист переутверждения по "РП дисциплины "Испытание приборов и систем"" (2012/13), 000010261	Утвержден			
История	Кафедра 518			
Лист переутверждения по "РП дисциплины "История" " (2012/13), 000007038	Утвержден			
История культуры	Кафедра 004			
Лист переутверждения по "РП дисциплины "История культуры" Шаблон УП очного специалитета по 161101" (2012/13), 000015447	Утвержден			
Культурология	Кафедра 004			
Лист переутверждения по "РП дисциплины "Культурология" очного специалитета по 161101" (2012/13), 000007260	Утвержден			
Линейная алгебра и аналитическая геометрия	Кафедра 804			
РП дисциплины Линейная алгебра (161101, 3ф 2011/12 уч.год) Осокин А.В. (Копия 06.02.2018 16:16:57 Осокин А.В.), 000070077	Утвержден			
Математический анализ	Кафедра 804			
Лист переутверждения по "РП дисциплины "Математический анализ" для специалитета на 10 з.е. (161101)   " (2012/13), 000006960	Утвержден			
Материаловедение	Кафедра 903			
РП дисциплины "Материаловедение" очного специалитета по 161101   "Управляющие пилотажно-навигационные комплексы л.а."  (2012/13), 000015752	Утвержден			
Метрология, стандартизация и сертификация	Кафедра 303			
Лист переутверждения по "РП дисциплины "Метрология, стандартизация и сертификация"" (2012/13), 000031064	Утвержден			
Микропроцессорная техника в приборах, системах и комплексах	Кафедра 305			
Лист переутверждения по "РП дисциплины "Микропроцессорная техника в приборах, системах и комплексах"" (2012/13), 000006674	Утвержден			
Моделирование систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Моделирование систем"" (2012/13), 000004672	Утвержден			
Навигационные системы и приборы летательных аппаратов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Навигационные системы и приборы летательных аппаратов"" (2012/13), 000005993	Утвержден			
Надежность и техническая диагностика сложных систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Надежность и техническая диагностика сложных систем"" (2012/13), 000005413	Утвержден			
Начертательная геометрия	Кафедра 904			
Лист переутверждения по "РП дисциплины "Начертательная геометрия" (72ч= 18ЛК+16ПЗ+38СРС) 161101C" (2012/13), 000028521	Утвержден			
Оптимизация и логико-математические методы в измерительных системах	Кафедра 305			
Лист переутверждения по "РП дисциплины "Оптимизация и логико-математические методы в измерительных системах"" (2012/13), 000005995	Утвержден			
Основы автоматизированного проектирования	Кафедра 305			
Лист переутверждения по "РП дисциплины "Основы автоматизированного проектирования"" (2012/13), 000005410	Утвержден			
Основы конструирования приборов	Кафедра 906			
Лист переутверждения по " РП дисциплины "Основы конструирования приборов" ,очного специалитета по 161101" (2012/13), 000000836	Утвержден			
Основы менеджмента	Кафедра 506			
Лист переутверждения по "РП дисциплины "Основы менеджмента" каф. 506  161101" (2012/13), 000011964	Утвержден			
Основы прикладной гидро- и аэродинамики	Кафедра 602			
Лист переутверждения по "РП дисциплины "Основы прикладной гидро- и аэродинамики"" (2012/13), 000008038	Утвержден			
Основы теории пилотажно-навигационных систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Основы теории пилотажно-навигационных систем"" (2012/13), 000005402	Утвержден			
Основы теории управления	Кафедра 301			
Лист переутверждения по "РП дисциплины "Основы теории управления"" (2012/13), 000005471	Утвержден			
Пилотажно-навигационные комплексы летательных аппаратов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Пилотажно-навигационные комплексы летательных аппаратов"" (2012/13), 000006011	Утвержден			
Политика и право	Кафедра 003			
Лист переутверждения по "РП дисциплины "Политика и право"    " (2012/13), 000014735	Утвержден			
Политология	Кафедра 003			
Лист переутверждения по "РП дисциплины "Политология" " (2012/13), 000009222	Утвержден			
Правоведение	Кафедра 003			
Лист переутверждения по "РП дисциплины "Правоведение"" (2012/13), 000014498	Утвержден			
Преддипломная практика	Кафедра 305			
Лист переутверждения по "РП практики "Преддипломная практика"" (2012/13), 000006974	Отправлен на доработку			
РП практики "Преддипломная практика", 000053018	Утвержден			
Приборы и датчики высотно- скоростных параметров	Кафедра 303			
Нет РПД,				
Приборы и датчики навигационных систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Приборы и датчики навигационных систем"" (2012/13), 000005400	Утвержден			
Программно-алгоритмическое обеспечение пилотажно-навигационных комплексов летательных аппаратов	Кафедра 305			
Лист переутверждения по "Программно-алгоритмическое обеспечение пилотажно-навигационных комплексов" (2012/13), 000012339	Утвержден			
Проектирование пилотажно-навигационных комплексов летательных аппаратов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Проектирование пилотажно-навигационных комплексов летательных аппаратов"" (2012/13), 000019228	Утвержден			
Производственная практика	Кафедра 305			
Лист переутверждения по "РП практики "Производственная практика"" (2012/13), 000006338	Утвержден			
Производственно-технологическая практика	Кафедра 307			
Лист переутверждения по "РП практики "Производственно-технологическая практика"" (2012/13), 000004373	Утвержден			
Системы автоматического управления воздушными летательными аппаратами	Кафедра 301			
Лист переутверждения по "РП дисциплины "Системы автоматического управления воздушными летательными аппаратами"" (2012/13), 000023207	Утвержден			
Системы автоматического управления космическими летательными аппаратами	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы автоматического управления космическими летательными аппаратами"" (2012/13), 000005394	Утвержден			
Системы аналитических вычислений	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы аналитических вычислений"" (2012/13), 000005392	Утвержден			
Системы компьютерных вычислений	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы компьютерных вычислений" " (2012/13), 000005386	Утвержден			
Случайные процессы и статистические технологии	Кафедра 305			
Лист переутверждения по "РП дисциплины "Случайные процессы и статистические технологии"" (2012/13), 000006888	Утвержден			
Социология	Кафедра 009			
Лист переутверждения по "РП дисциплины "Социология" 2 з.е.   " (2012/13), 000005070	Утвержден			
Спутниковые и радиотехнические навигационные системы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Спутниковые и радиотехнические навигационные системы"" (2012/13), 000005373	Утвержден			
Теоретическая механика	Кафедра 802			
РП дисциплины "Теоретическая механика" очного специалитета по 161101  , 000103501	Утвержден			
Теоретические основы электротехники и электроизмерений	Кафедра 309			
Лист переутверждения по "РП дисциплины "Теоретические основы электротехники и электроизмерений" 161101.12 " (2012/13), 000000958	Утвержден			
Теория вероятностей и математическая статистика	Кафедра 302			
Лист переутверждения по "РП дисциплины "Теория вероятностей и математическая статистика"  " (2012/13), 000004906	Утвержден			
Теория случайных процессов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Теория случайных процессов"" (2012/13), 000006890	Утвержден			
Теория функций комплексного переменного	Кафедра 804			
РП дисциплины "Теория функций комплексного переменного", 3 з.е. (161101) 2012/13, 000051325	Утвержден			
Технологии радиотехнических навигационных измерений	Кафедра 305			
Лист переутверждения по "РП дисциплины "Технологии радиотехнических навигационных измерений"" (2012/13), 000005380	Утвержден			
Технология приборостроения	Кафедра 307			
Нет РПД,				
УИРС	Кафедра 305			
Лист переутверждения по "РП дисциплины "УИРС" (Копия 16.05.2013 12:21:57 Мельников В.Е.)" (2012/13), 000006409	Утвержден			
Лист переутверждения по "РП дисциплины "УИРС"" (2012/13), 000001142	Отправлен на доработку			
Учебная практика	Кафедра 305			
Лист переутверждения по "РП практики "Учебная практика"" (2012/13), 000001100	Утвержден			
Физика	Кафедра 801			
Лист переутверждения по "РП дисциплины "Физика" (специалитет 161101) " (2012/13), 000028939	Утвержден			
Физико-теоретические основы элементов и систем управления движением	Кафедра 305			
Лист переутверждения по "РП дисциплины "Физико-теоретические основы элементов и систем управления движением"" (2012/13), 000005981	Утвержден			
Философия	Кафедра 517			
Лист переутверждения по "РП дисциплины "Философия"  очного специалитета по 161101" (2012/13), 000001059	Утвержден			
Химия	Кафедра 908			
Лист переутверждения по "РП дисциплины "Химия" для очного специалитета по 161101" (2012/13), 000009000	Утвержден			
Цифровые измерительно-управляющие системы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Цифровые измерительно-управляющие системы"" (2012/13), 000005378	Утвержден			
Численные методы	Кафедра 804			
Лист переутверждения по "РП дисциплины "Численные методы" для специалитета по направлению 161101" (2012/13), 000006231	Утвержден			
Экология	Кафедра 301			
Лист переутверждения по "РП дисциплины "Экология" (очн. спец. 161101.9 каф. 301)" (2012/13), 000020655	Утвержден			
Экономика	Кафедра 507			
Лист переутверждения по "РП дисциплины "Экономика" (1 семестр) (Любимцева С.В.)" (2012/13), 000011871	Утвержден			
Экономика отрасли	Кафедра 502			
РП дисциплины "Экономика отрасли" специалитет , 000017616	Утвержден			
Эксплуатационная практика	Кафедра 305			
Лист переутверждения по "РП практики "Эксплуатационная практика"" (2012/13), 000006341	Утвержден			
Эксплуатация и испытание систем управления летательных аппаратов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Эксплуатация и испытание систем управления летательных аппаратов" (Копия 12.12.2014 17:21:24 Кошелев Б.В.)" (2, 000012836	Утвержден			
Электроника	Кафедра 305			
Лист переутверждения по "РП дисциплины "Электроника"" (2012/13), 000006676	Утвержден			
Электрооборудование летательных аппаратов и средства их подготовки	Кафедра 310			
Лист переутверждения по "РП дисциплины "Электрооборудование летательных апппаратов и средства их подготовки"" (2012/13), 000005128	Утвержден			
Элементы приборов и систем ориентации и навигации	Кафедра 305			
Лист переутверждения по "РП дисциплины "Элементы приборов и систем ориентации и навигации"" (2012/13), 000005983	Утвержден			
